iata,latitude,longitude
WIB,34.22570038,-99.28379822
HHR,33.922798,-118.334999
SJT,31.35770035,-100.4960022
HHI,21.48349953,-158.0399933
HHH,32.22439957,-80.69750214
HGZ,66.2161026,-155.6690063
SKA,47.61510086,-117.6559982
SKF,29.38419914,-98.58110046
HGR,39.707901,-77.72949982
SKK,64.37110138,-161.223999
HFF,35.036288,-79.497755
HFD,41.73669815,-72.6493988
SKW,61.96530151,-151.1909943
HEZ,31.613738,-91.297313
SLB,42.59730148,-95.24069977
SLC,40.78839874,-111.9779968
SLE,44.90950012,-123.0029984
SLG,36.19189835,-94.48999786
FOB,39.47430038,-123.7959976
HES,45.828223,-119.259024
SLK,44.38529968,-74.20619965
SLN,38.79100037,-97.65219879
SLO,38.64289856,-88.96420288
SLQ,61.70050049,-157.1660004
SLR,33.15980148,-95.62110138
SLT,38.5383,-106.049004
HEE,34.576571,-90.67616
HED,55.80139923,-160.8990021
SME,37.05339813,-84.61589813
SMF,38.69540024,-121.5910034
SMK,63.49010086,-162.1100006
HDN,40.48120117,-107.2180023
SMN,45.12379837,-113.8809967
SMO,34.0158,-118.450996
HDH,21.5795002,-158.1970062
HDE,40.452099,-99.336502
SMU,61.81200027,-147.5070038
SMX,34.89889908,-120.4570007
SNA,33.67570114,-117.8679962
HCW,34.71289825,-79.95700073
HCR,62.18830109,-159.7749939
HCC,42.29130173,-73.71029663
HCA,32.212601,-101.522003
SNK,32.69340134,-100.9499969
SNL,35.35789871,-96.94280243
SNP,57.16730118,-170.2200012
HBR,34.991317,-99.051313
SNS,36.66279984,-121.6060028
HBK,34.94070053,-110.1380005
HBH,57.412201,-133.43848
SNY,41.10129929,-102.9850006
HBG,31.26479912,-89.25279999
HBB,32.7668,-103.209
HAR,40.21709824,-76.85150146
SOL,64.5605,-164.4457
SOP,35.23740005,-79.3911972
HAO,39.36380005,-84.52200317
SOV,59.44240189,-151.7039948
SOW,34.26549912,-110.0059967
HAI,41.95980072,-85.59339905
HAF,37.51340103,-122.5009995
SPA,34.91569901,-81.95649719
HAB,34.11759949,-87.99819946
SPF,44.4803009,-103.7829971
SPG,27.7651,-82.626999
SPI,39.84410095,-89.67790222
GYR,33.42250061,-112.3759995
SPS,33.9888,-98.491898
SPW,43.16550064,-95.20279694
SPZ,36.17639923,-94.11930084
