start,destination,miles
ABQ,SEA,1178
ADK,ANC,1188
ADQ,ANC,500
ADQ,OTZ,707
ANC,ADK,1188
ANC,ADQ,500
ANC,BET,500
ANC,BRW,722
ANC,CDV,500
ANC,FAI,500
ANC,HNL,2778
ANC,JNU,569
ANC,KOA,2876
ANC,KTN,772
ANC,LAS,2300
ANC,LAX,2341
ANC,OGG,2798
ANC,OME,537
ANC,ORD,2837
ANC,OTZ,546
ANC,PDX,1538
ANC,PHX,2547
ANC,PSG,675
ANC,SCC,624
ANC,SEA,1444
ANC,SIT,590
ANC,WRG,705
ANC,YAK,500
ATL,SEA,2176
AUS,PDX,1712
AUS,SEA,1768
BET,ANC,500
BLI,KOA,2730
BLI,OGG,2680
BLI,SEA,500
BNA,SEA,1972
BOI,SEA,500
BOS,PDX,2529
BOS,SAN,2581
BOS,SEA,2487
BRW,ANC,722
BRW,FAI,501
BUR,PDX,817
BUR,SEA,937
BWI,CUN,1391
BWI,LAX,2322
BWI,SAN,2289
BWI,SEA,2327
CDV,ANC,500
CDV,JNU,500
CDV,SEA,1290
CDV,YAK,500
CHS,SEA,2409
CUN,BWI,1391
CUN,SEA,2683
DCA,LAX,2304
DCA,PDX,2343
DCA,SEA,2321
DEN,SEA,1021
DFW,LAX,1231
DFW,PDX,1613
DFW,SEA,1657
DTW,PDX,1947
DTW,SEA,1921
EWR,PDX,2426
EWR,SAN,2419
EWR,SEA,2394
EWR,SJC,2540
FAI,ANC,500
FAI,SEA,1528
FLL,SEA,2712
GDL,LAX,1308
GDL,SJC,1612
GEG,SEA,500
HAV,LAX,2298
HAV,SEA,2766
HNL,ANC,2778
HNL,LAX,2551
HNL,OAK,2405
HNL,PDX,2601
HNL,SAN,2608
HNL,SEA,2675
HNL,SJC,2413
IAD,SEA,2298
IAH,SEA,1871
IND,SEA,1860
JFK,PDX,2446
JFK,SEA,2413
JNU,ANC,569
JNU,CDV,500
JNU,KTN,500
JNU,PSG,500
JNU,SEA,907
JNU,SIT,500
JNU,WRG,500
JNU,YAK,500
KOA,ANC,2876
KOA,BLI,2730
KOA,LAX,2500
KOA,OAK,2375
KOA,PDX,2605
KOA,SAN,2551
KOA,SEA,2687
KOA,SJC,2381
KTN,ANC,772
KTN,JNU,500
KTN,PSG,500
KTN,SEA,679
KTN,SIT,500
KTN,WRG,500
LAS,ANC,2300
LAS,PDX,762
LAS,SEA,866
LAS,SJC,500
LAX,ANC,2341
LAX,BWI,2322
LAX,DCA,2304
LAX,GDL,1308
LAX,HAV,2298
LAX,LIR,2626
LAX,LTO,692
LAX,MEX,1552
LAX,MZT,1045
LAX,PDX,834
LAX,PVR,1218
LAX,SEA,954
LAX,SJD,912
LAX,SJO,2721
LAX,SLC,589
LAX,ZIH,1539
LAX,ZLO,1330
LIH,OAK,2453
LIH,PDX,2628
LIH,PSP,2717
LIH,SAN,2670
LIH,SEA,2698
LIH,SJC,2462
LIR,LAX,2626
LTO,LAX,692
LWS,ONT,851
MCI,SEA,1485
MCO,PDX,2529
MCO,SAN,2143
MCO,SEA,2549
MEX,LAX,1552
MEX,SFO,1880
MSP,SEA,1394
MSY,SEA,2082
MZT,LAX,1045
OAK,HNL,2405
OAK,KOA,2375
OAK,LIH,2453
OAK,OGG,2345
OAK,PDX,544
OAK,SEA,672
OGG,ANC,2798
OGG,BLI,2680
OGG,HNL,500
OGG,OAK,2345
OGG,PDX,2560
OGG,SAN,2536
OGG,SEA,2638
OGG,SJC,2352
OGG,SMF,2401
OMA,SEA,1363
OME,ANC,537
OME,OTZ,500
ONT,PDX,839
ONT,PUW,876
ONT,SEA,956
ORD,ANC,2837
ORD,PDX,1733
ORD,SEA,1715
OTZ,ADQ,707
OTZ,ANC,546
OTZ,OME,500
PDX,ANC,1538
PDX,AUS,1712
PDX,BOS,2529
PDX,BUR,817
PDX,DCA,2343
PDX,DFW,1613
PDX,DTW,1947
PDX,EWR,2426
PDX,HNL,2601
PDX,JFK,2446
PDX,KOA,2605
PDX,LAS,762
PDX,LAX,834
PDX,LIH,2628
PDX,MCO,2529
PDX,OAK,544
PDX,OGG,2560
PDX,ONT,839
PDX,ORD,1733
PDX,PHX,1009
PDX,PSP,873
PDX,PVR,1981
PDX,SAN,933
PDX,SEA,500
PDX,SFO,550
PDX,SJC,569
PDX,SJD,1709
PDX,SLC,628
