start,destination,price,miles
SEA,HNL,150,2677
SEA,SAN,79,1050
SEA,MCO,134,2554
SEA,DEN,74,1024
SEA,SFO,49,679
SEA,BOS,99,2496
SEA,EWR,99,2402
SEA,JFK,99,2421
SEA,IAD,99,2306
SEA,DFW,109,1660
DEN,SEA,72,1024
DEN,PDX,79,991
DEN,ANC,172,2405
DEN,FAI,284,2430
BOS,SAN,149,2588
BOS,SEA,99,2496
BOS,PDX,119,2537
BOS,LAX,143,2611
BOS,SFO,99,2704
HNL,SEA,163,2677
HNL,PDX,149,2603
HNL,SAN,119,2614
HNL,SFO,99,2398
HNL,LAX,99,2556
SLC,PDX,89,630
SLC,SAN,129,626
SLC,LAX,113,590
SLC,SFO,69,599
EWR,SFO,94,2565
EWR,SEA,95,2402
EWR,SAN,89,2425
EWR,LAX,99,2454
EWR,PDX,99,2434
JFK,SFO,94,2586
JFK,SAN,89,2446
JFK,PDX,99,2454
JFK,LAX,134,2475
JFK,SEA,99,2421
IAD,SFO,99,2419
IAD,SEA,99,2306
IAD,PDX,140,2327
IAD,LAX,99,2288
SFO,SEA,44,679
SFO,JFK,99,2578
SFO,PDX,59,550
SFO,MCO,139,2440
SFO,EWR,99,2557
SFO,LAX,49,500
SFO,BOS,99,2696
SFO,SAN,59,500
SEA,PDX,100,500
